,acronym,actual,prediction,text
116,ASPnet,associate schools projects network,associate schools projects network,ASPnet associate schools projects network associate schools projects network associate schools projects networkThe kits have been produced in four languages and are currently being tested in 18 desertification-affected countries through the UNESCO ASPnet.
117,ASPnet,associate schools projects network,associate schools projects network,"ASPnet associate schools projects network associate schools projects network associate schools projects networkThese links will include working with the Youth Unit of the United Nations Department of Economic and Social Affairs on the involvement of youth in the United Nations General Assembly and the Commissions on Sustainable Development and Social Development; better involving the ASPnet of the United Nations Educational, Scientific and Cultural Organization (UNESCO) and the Voices of Youth programme of the United Nations Children's Fund (UNICEF); and intensifying links with the United Nations Development Programme (UNDP) and the United Nations Information Centres and Services in disseminating information and working with young people at all leve"
118,NO,national officer,not occurring,"NO national officer national officer not occurringMajor volume changes are as follows: (a) A reduction at headquarters of $369,000; (b) An increase in the field of $1.9 million relating to the creation of a network of local NO posts in the area of sustainable development; (c) An increase in the field of $0.9 million relating to the creation of a network of local NO posts in the area of HIV/AIDS."
119,NO,national officer,not occurring,"NO national officer national officer not occurring-keeping; participation in technical survey missions; (iv) Providing statements of programme budget implications on draft resolutions or decisions concerning salaries, allowances and other entitlements; (v) Assisting in staff-management consultations on issues of salaries, allowances and other benefits; (vi) Maintenance of an electronic database (current and historical) of all General Service and NO salary scales (containing currently more than 1,500 scales); automated processing and transmission of salary survey data to other United Nations agencies and field duty stations; and implementation of emolument packages for all categories of staff on a timely basis; (vii) Developing job classification structures: conduct of initial classification surveys of General Service posts a"
120,NO,not occurring,not occurring,"NO national officer national officer not occurringIn managed forests, the nutritional problems that depositions create can be addressed by using fertilizers, provided that pollutant inputs are not excessive and that direct damage from pollutants in the atmosphere is NO."
121,OSPAR,commission for the protection of the marine environment of the northeast atlantic,commission for the protection of the marine environment of the northeast atlantic,"OSPAR commission for the protection of the marine environment of the northeast atlantic commission for the protection of the marine environment of the northeast atlanticly Relevant Trace Constituents in the Troposphere over Europe (EUROTRAC): air pollution monitoring and modelling; International Institute for Applied Systems Analysis: integrated assessment modelling (NGOs); joint bodies established for the protection of transboundary inland waters and the marine environment, Baltic Marine Environment Protection Commission (Helsinki Commission) and the Oslo-Paris OSPAR; OECD: Environmental Performance Reviews; participation in the activities which are coordinated by the Administrative Committee on Coordination Subcommittee on Water Resources, particularly the assessment of achievements under chapter 18 of Agenda 21 and the World Water Development Report; participation in the Task"
122,OSPAR,commission for the protection of the marine environment of the northeast atlantic,commission for the protection of the marine environment of the northeast atlantic,"OSPAR commission for the protection of the marine environment of the northeast atlantic commission for the protection of the marine environment of the northeast atlanticent for Europe by the Task Force on the Environment Action Programme for Central and Eastern Europe; the follow-up to the Conference by the Council of Europe and UNEP; and the follow-up to the energy conservation initiative by the European Energy Charter secretariat; (ii) Cooperation and coordination with the Baltic Marine Environment Protection Commission (Helsinki Commission) and the Oslo-Paris OSPAR on emission inventories, monitoring and modelling; the Arctic Monitoring and Assessment Programme on emission inventories and monitoring; the European Experiment on the Transport and Transformation of Environmentally Relevant Trace Constituents in the Troposphere over Europe on air pollution monitoring and modelling"
123,NPT,treaty on the nonproliferation of nuclear weapons,nonproliferation treaty,NPT treaty on the nonproliferation treaty on the nonproliferation of nuclear weapons nonproliferation treaty nonproliferation treatyations under the NPT and to withdraw from that Treaty.
124,NPT,treaty on the nonproliferation of nuclear weapons,nonproliferation treaty,NPT treaty on the nonproliferation treaty on the nonproliferation of nuclear weapons nonproliferation treaty nonproliferation treatyGENERAL AND COMPLETE DISARMAMENT Letter dated 11 May 1993 from the Permanent Representative of Panama to the United Nations addressed to the Secretary-General I have the honour to enclose the text of a statement made on 6 May 1993 by the Ministry of Foreign Affairs of the Republic of Panama concerning the decision of the Government of the Democratic People's Republic of Korea to withdraw from the NPT (see annex).
125,NPT,nonproliferation treaty,nonproliferation treaty,NPT treaty on the nonproliferation treaty on the nonproliferation of nuclear weapons nonproliferation treaty nonproliferation treatyThe strength of the nuclear non-proliferation regime depends both on the non-nuclear-weapon States' strict compliance with their commitment not to acquire nuclear weapons and on the nuclear-weapon-States' adherence to the undertaking that they themselves have assumed under Article VI of the NPT.
126,NPT,nonproliferation treaty,nonproliferation treaty,"NPT treaty on the nonproliferation treaty on the nonproliferation of nuclear weapons nonproliferation treaty nonproliferation treatyPresident de Klerk also said in his statement to Parliament, that he wished to confirm unequivocally that South Africa was adhering strictly to the requirements of the Nuclear NPT and that it would continue to do so."
127,NPT,nonproliferation treaty,nonproliferation treaty,"NPT treaty on the nonproliferation treaty on the nonproliferation of nuclear weapons nonproliferation treaty nonproliferation treatyThe resulting strategy will maintain strategic stability with Russia and China, strengthen regional deterrence, and reassure U.S. allies and partners, while laying the groundwork for negotiations with Russia on how we can mutually and verifiably reduce our strategic and nonstrategic nuclear stockpiles and live up to our commitments under the Nuclear NPT."
128,SIDA,swedish international development agency,swedish international development agency,"SIDA swedish international development agency swedish international development agencyThe Partnership is co-sponsored by UNDP, the World Bank and the SIDA."
129,SIDA,swedish international development agency,swedish international development agency,"SIDA swedish international development agency swedish international development agencyTechnical cooperation The Institute, together with the SIDA, organized a programme to promote human rights and democratic values in the Burundian gendarmerie."
130,SIDA,swedish international development agency,swedish international development agency,"SIDA swedish international development agency swedish international development agencyIn Burundi, the Division cooperated with the Raoul Wallenberg Institute, the SIDA and the office of the Special Representative of the Secretary-General, in organizing a series of six training seminars for Burundian police officials and military officers with responsibility for internal security (winter 1995)."
131,IEC,international electrotechnical commission,international electrotechnical commission,"IEC information education communication international electrotechnical commissionLiaison and cooperation on questions relating to industry and technology with the Commission of the European Communities, OECD, the International Organization for Standardization, the IEC, the World Bank, EBRD, the European Chemical Industry Council, the International Iron and Steel Institute, the International Federation for Medical and Biological Engineering, the International Federation of Robotics, the International Organization of Legal Metrology, the European Committee for Cooperation of the Machine Tool Industries and the European Or"
132,IPRs,intellectual property rights,intellectual property rights,"IPRs intellectual property rights investment policy reviewThe new international regime of the protection of IPRs should tend to provide new opportunities for developing countries with regard to the access and diffusion of technologies, rather than strengthen the monopolistic privileges favoured by multinational firms."
133,IPRs,intellectual property rights,intellectual property rights,"IPRs intellectual property rights investment policy reviewThe consequences of the Uruguay Round for market access of LDCs should also be judged against the additional obligations that may be placed upon them in the areas of trade-related IPRs, trade-related investment measures and trade in services."
134,IP,international protection,international protection,"IP international protection internet protocol""IP of partisans"" (Budapest, 1977) (In Hungarian)."
135,IP,international protection,internet protocol,IP international protection internet protocolEmergencies: preparedness and response IP must be accompanied by rapid and effective emergency response.
136,IP,internet protocol,internet protocol,"IP international protection internet protocolThe region was to witness the implementation of a host of new satellite systems, especially systems using IP technology, but also broadband Internet and the digital broadcasting satellite systems."
137,POWs,prisoners of war,prisoners of war,"POWs prisoners of war prisoners of warThere were no detention camps in the territory controlled by the Croatian authorities and, even during the military aggression, the treatment of POWs belonging to the so-called Yugoslav People's Army or to Serbian paramilitary groups had been regulated by a special decree providing for the application of the Geneva Conventions of 1949."
138,POWs,prisoners of war,prisoners of war,"POWs prisoners of war prisoners of warIt was also noted that certain charges had been brought in the courts against persons who were accused of crimes against civilians, crimes against POWs and the crime of genocide."
139,AN,armee nationale,armee nationale,"AN armee nationale antonov artificial networkThe Government of Chad expressed its intention to prepare and implement an action plan to address the recruitment and use of children by the AN tchadienne in a meeting between my Special Representative for Children and Armed Conflict and the Minister of Social Action, National Solidarity and Family in October 2010."
140,AN,armee nationale,armee nationale,"AN armee nationale antonov artificial networkIn addition, between May and August 2010, the presence of children within AN tchadienne forces was also observed in Adré, as well as within mobile brigades of the Arm"
141,AN,antonov,armee nationale,"AN armee nationale antonov artificial networkRequirements for the budgeted period reflect an increase in the cost of aviation fuel from $0.49 to $0.55 per litre, as indicated in the actual terms of the contracts with two fuel suppliers, and the higher number of flight-hours for the AN-26 aircraft."
142,EurAsEC,eurasian economic commission,eurasian economic commission,"EurAsEC eurasian economic commission eurasian economic commissionIn particular, the following will be presented: - U.S. Legislative Order 13609 on ""Regulatory cooperation""; - Ongoing efforts towards regulatory approximation between the European Union and the EurAsEC; - Regulatory cooperation under the umbrella of the Organization for Asia-Pacific Economic Cooperation (APEC)."
143,EurAsEC,eurasian economic commission,eurasian economic commission,"EurAsEC eurasian economic commission eurasian economic commissionIncreasing exports of coking coal to the Russian Federation will also make use of the enrichment capacities that are standing idle (at the Vostochnaya enrichment plant), since coking coal is supplied in the form of concentrate (after processing); Optimization of pricing and tariff policies of coal-mining enterprises and rail transport, agreement among the States members of the EurAsEC on general principles for setting rail tariffs, which will ensure the accessibility of coal fuel to domestic consumers and the growth of exports of Kazakh coal, particularly to the Russian Federation; As a measure to improve the financial situation of coal-mining companies, stimulate investment aimed at technically increasing production levels and modernizing mines and"
144,UNCTAD,united nations conference on trade and development,united nations conference on trade and development,"UNCTAD united nations conference on trade and development united nations conference on trade and development united nations conference on trade and development united nations conference on trade and developmentAs indicated in paragraph 1 of the Secretary-General's report (A/C.5/47/7), pursuant to General Assembly resolution 46/185 C of 20 December 1991 section IX, proposals for 1993 are submitted with regard to the 13 posts relating to programmes 13 and 14 of section 15 (UNCTAD) of the programme budget and enumerated in paragraph 2 of the Secretary-General's report."
145,UNCTAD,united nations conference on trade and development,united nations conference on trade and development,"UNCTAD united nations conference on trade and development united nations conference on trade and development united nations conference on trade and development united nations conference on trade and developmentAs indicated in paragraph 1 of the Secretary-General's report (A/C.5/47/7), pursuant to General Assembly resolution 46/185 C of 20 December 1991 section IX, proposals for 1993 are submitted with regard to the 13 posts relating to programmes 13 and 14 of section 15 (UNCTADt) of the programme budget and enumerated in paragraph 2 of the Secretary-General's report."
146,UNCTAD,united nations conference on trade and development,united nations conference on trade and development,"UNCTAD united nations conference on trade and development united nations conference on trade and development united nations conference on trade and development united nations conference on trade and developmentr 1994 at 3 p.m. New York AGENDA ITEM 90: OPERATIONAL ACTIVITIES FOR DEVELOPMENT (continued) ANNOUNCEMENT CONCERNING SPONSORSHIP OF DRAFT RESOLUTIONS The meeting was called to order at 3.20 p.m. AGENDA ITEM 12: REPORT OF THE ECONOMIC AND SOCIAL COUNCIL (continued) (A/C.2/49/L.3) Draft resolution on integration of the Commission on Transnational Corporations into the institutional machinery of the UNCTADA/C.2/49/L.3) Mr. RAICHEV (Bulgaria), Vice-Chairman, reporting on the informal consultations held on draft resolution A/C.2/49/L.3, recommended the draft text for adoption by consensus."
147,MSC-W,meteorological synthesizing centre west,meteorological synthesizing centre west,"MSC-W meteorological synthesizing centre west methods to the calculation of water meteorological synthesizing centre westCONTINUED WORK UNDER THE MEDIUM-TERM WORK-PLAN The further development of appropriate interfaces between dynamic modelling and integrated assessment would continue to be of ongoing concern in the collaboration between ICP Modelling and Mapping, other ICPs, the MSC-W, the Centre for Integrated Assessment Modelling and the Joint Expert Group on Dynamic Modelling."
148,MSC-W,meteorological synthesizing centre west,meteorological synthesizing centre west,"MSC-W meteorological synthesizing centre west methods to the calculation of water meteorological synthesizing centre westThe calculations used critical loads computed with the European background database for countries not submitting data and made use of acidifying and eutrophying deposition for 1980, 1990, 2000 and 2010 computed by the EMEP MSC-W."
149,MSC-W,meteorological synthesizing centre west,meteorological synthesizing centre west,"MSC-W meteorological synthesizing centre west methods to the calculation of water meteorological synthesizing centre westAction: MSC-East, EMEP MSC-W) In addition, the workshop recommended that: More material should be made available in Russian, as there was a need to use the Russian language (Action: Executive Body, Convention secretariat, EECCA countries); Joint activities/workshops should be organized for EECCA countries on important technical issues like emission inventories, PM measurements, ecosyste"
150,CCF,country cooperation framework,country cooperation framework,"CCF country cooperation framework country cooperation frameworkDecides that the new CCFs (country programmes) be developed by recipient Governments in consultation with the United Nations Development Programme and that they be submitted to the Executive Board for endorsement; also decides to consider further, at its first regular session 1996, the involvement of the Board in programming processes and procedures; 13."
151,UNESCO,united nations educational scientific and cultural organization,united nations educational scientific and cultural organization,UNESCO united nations educational scientific and cultural organization united nations educational scientific and cultural organization united nations educational scientific and cultural organizationI. UNESCO Those activities include helping set up reliable observatory and early-warning networks and systems for natural hazards; devising rational land-use plans; securing the adoption of suitable building design and protecting educational buildings and cultural monuments; strengthening environmental protection for the prevention of natural
152,UNESCO,united nations educational scientific and cultural organization,united nations educational scientific and cultural organization,"UNESCO united nations educational scientific and cultural organization united nations educational scientific and cultural organization united nations educational scientific and cultural organizationand purposes of the United Nations system among the peoples of the world and at strengthening the positive image of the system as a whole; (d) Continues its briefings, assistance and orientation programmes for broadcasters, journalists and other media professionals from developing countries focused on United Nations-related issues; (e) Provides, on the basis of its activities, information to the UNESCO about new forms of cooperation, at the regional and subregional levels, for the training of media professionals and for the improvement of the information and communication infrastructures of developing countries; (f) Continues its policies of cooperation with all agencies of the United Nations system, in particular with the United N"
153,UNESCO,united nations educational scientific and cultural organization,united nations educational scientific and cultural organization,UNESCO united nations educational scientific and cultural organization united nations educational scientific and cultural organization united nations educational scientific and cultural organizationThe following specialized agencies were represented: Food and Agriculture Organization of the United Nations International Labour Organisation UNESCO World Bank 8.
154,CSA,canadian space agency,canadian standards association,"CSA canadian space agency canadian standards associationThe Ministry of Science, Technology and Environment, through its technical authority in NRCT and in cooperation with the CSA, will own and operate the satellite system."
155,CSA,canadian standards association,canadian standards association,"CSA canadian space agency canadian standards associationCertified forest products The area of certified forest increased by one third during the last year, totalling 241 million hectares worldwide by mid-2005, mainly due to an increase in Canada through the CSA scheme (graph 1.2.1)."
156,FSC,forest stewardship council,forest stewardship council,FSC forest stewardship council forest stewardship councilThe FSC requires a chain of custody for all of its operators (covering more than 40 million hectares).
157,PEFC,programme for the endorsement of forest certification,programme for the endorsement of forest certification,"PEFC programme for the endorsement of forest certification programme for the endorsement of forest certificationNevertheless, in 2010 still only about 10 per cent of the total forest area was managed under Forest Stewardship Council and PEFC practices."
158,PEFC,programme for the endorsement of forest certification,programme for the endorsement of forest certification,"PEFC programme for the endorsement of forest certification programme for the endorsement of forest certificationIn a number of countries, valuable experiences are being accumulated on sustainable forest management (see case studies of FAO) and certification (over 11 million hectares have been Forest Stewardship Council-certified and about 2 million have been certified under the PEFC Schemes)."
159,CERD,international convention on the elimination of all forms of racial discrimination,international convention on the elimination of all forms of racial discrimination,CERD international convention on the elimination of all forms of racial discrimination committee on the elimination of racial discriminationBoth the CERD and the International Convention on the Suppression and Punishment of the Crime of Apartheid formed part of the domestic law of Qatar and could be invoked before the courts.
160,CERD,international convention on the elimination of all forms of racial discrimination,international convention on the elimination of all forms of racial discrimination,"CERD international convention on the elimination of all forms of racial discrimination committee on the elimination of racial discriminationAs at 20 August 1993, the closing date of the forty-third session of the Committee on the Elimination of Racial Discrimination, there were 137 States parties to the CERD, which was adopted by the General Assembly in resolution 2106 A (XX) of 21 December 1965 and opened for signature and ratification in New York on 7 March 1966."
161,REC-CEE,regional environmental center for central and eastern europe,regional environmental center for central and eastern europe,REC-CEE regional environmental center for central and eastern europe regional environmental center for central and eastern european Nations Caribbean Community Secretariat Center for International Forestry Research Comisíon Centroamericana de Ambiente y Desarrollo Corporación Andina de Fomento Council of Europe European Space Agency International Energy Agency IUCN-The World Conservation Union Organisation for Economic Co-operation and Development Organization of Petroleum Exporting Countries Permanent Court of Arbitration REC-CEE South Pacific Regional Environment Programme II.
162,REC-CEE,regional environmental center for central and eastern europe,regional environmental center for central and eastern europe,"REC-CEE regional environmental center for central and eastern europe regional environmental center for central and eastern europePresentations from Belgium, France, the REC-CEE (REC) and the Ukrainian NGOs Climate Change Working Group, and subsequent discussions, focused on the extent to which public participation can influence climate change decisions, and whether public recommendations were really taken into account by policy makers."
163,I-ACT,integrated assistance for countering terrorism,integrated assistance for countering terrorism,"I-ACT integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorismOHCHR and the Special Rapporteur are also members of other Task Force working groups, namely those on I-ACT, supporting and highlighting victims of terrorism, and countering the use of the Internet for terrorist purposes."
164,I-ACT,integrated assistance for countering terrorism,integrated assistance for countering terrorism,"I-ACT integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorismUnder the guidance of the Committee, the Executive Directorate will participate actively in and support all relevant activities under the United Nations Global Counter-Terrorism Strategy, including through active involvement in the I-ACT of the Counter-Terrorism Implementation Task Force."
165,I-ACT,integrated assistance for countering terrorism,integrated assistance for countering terrorism,"I-ACT integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorismUnder the I-ACT, within the framework of the Counter-Terrorism Implementation Task Force, the Executive Directorate engaged with the Government of Nigeria to advance a road map for the development of national counter-terrorism preventive measures."
166,I-ACT,integrated assistance for countering terrorism,integrated assistance for countering terrorism,"I-ACT integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorism integrated assistance for countering terrorismUnder the guidance of the Committee, the Executive Directorate will participate actively in and support all relevant activities under the United Nations Global Counter-Terrorism Strategy, including through active involvement in the I-ACT Initiative of the Counter-Terrorism Implementation Task Force."
167,NS,national staff,national staff,"NS national staff national staff national staffCivilian personnel costs InterNS salaries 888.7 Local staff salaries 0.0 Consultants and experts 64.3 Common staff costs 804.3 Other official travel 45.0 Total, line 3 1 082.3 4."
168,NS,national staff,national staff,NS national staff national staff national staffNS were also selected for numerous duties and training opportunities in other country offices and at headquarters.
169,NS,national staff,national staff,"NS national staff national staff national staffShe reported that in February 1999, the GSA had launched the NS Emergency Relief Fund."
170,UNV,united nations volunteer,united nations volunteer,UNV united nations volunteer united nations volunteerc) UNVs 1 November 1991 to 30 April 1993 expenditure .
171,UNV,united nations volunteer,united nations volunteer,UNV united nations volunteer united nations volunteerIt is expected that most UNV working for
172,UNV,united nations volunteer,united nations volunteer,"UNV united nations volunteer united nations volunteer543 200 Provision is made for the salaries and travel costs of 405 UNV for the month of May 1993, 372 for the month of June 1993 and 160 for July 1993."
173,UNV,united nations volunteer,united nations volunteer,UNV united nations volunteer united nations volunteerIt is expected that most UNV working for the electoral process will leave after May 1993 and the rest will leave before the end of July.
174,UNMO,united nations military observer,united nations military observer,"UNMO united nations military observer united nations military observerIt could consider the potential for establishing also a core of United Nations civilian observers, who could be drawn from both those with diplomatic experience and ex-military who wish to serve the United Nations, who would act along the same lines as UNMOs and who could provide an additional analytical capacity to reinforce work of U"
175,UNMO,united nations military observer,united nations military observer,"UNMO united nations military observer united nations military observerIt could consider the potential for establishing also a core of United Nations civilian observers, who could be drawn from both those with diplomatic experience and ex-military who wish to serve the United Nations, who would act along the same lines as UNMO and who could provide an additional analytical capacity to reinforce work of U"
176,UNMO,united nations military observer,united nations military observer,UNMO united nations military observer united nations military observerThe United Nations faces a shortage of UNMO.
177,SS,support staff,sending state,"SS sending state support staff security serviceive services Technical services P-4 P-3/1 Office of the Special Representative of the Secretary-General Special Representative of the Secretary-General Deputy Special Representative Chief of Staff A. Operation Centre B. Analysis Section C. Security Coordination D. Protocol/Visitors Bureau E. Zone coordination F. Liaison Office, Nairobi Policy and Planning Legal Counsel Force Commander Military HQ SS Office of Political Affairs Director Deputies Political Officer Report/analysis Political analysis Liaison/rovers Conference officers Local secretaries/SS Office for the Coordination of Humanitarian Assistance Coordinator Deputy Coordinator Planning and development Project (fin.)"
178,SS,security service,security service,"SS sending state support staff security serviceSubsequently, a meeting with the representatives of the United States Mission, the Diplomatic SS, the Federal Bureau of Investigation and the New York Police Department had taken place in July 1993 at the Permanent Mission of Cuba."
179,SS,security service,security service,"SS sending state support staff security serviceOn 16 July 1993, it was reported that a military cell of the Hamas had recently been discovered by the IDF and the General SS."
180,ASG,assistant secretary general,assistant secretary general,ASG assistant secretary general assistant secretary general abu sayyaf groupThe Committee notes that in recent months the Secretary-General has appointed a number of representatives and envoys and in this connection reiterates its view (see A/47/990) that there is a need for a clear statement of the rationale for the establishment of posts at the ASGl and Under-Secretary-General levels.
181,ASG,assistant secretary general,assistant secretary general,"ASG assistant secretary general assistant secretary general abu sayyaf groupAs set out in paragraph 7 of the statement, the proposed staffing for the United Nations component of the mission includes one post at the Under-Secretary-General level for the Special Envoy and one post at the ASGl level for the Executive Director, the related costs to be shared by the United Nations and OAS."
182,ASG,assistant secretary general,assistant secretary general,ASG assistant secretary general assistant secretary general abu sayyaf groupThe Committee notes that in recent months the Secretary-General has appointed a number of representatives and envoys and in this connection reiterates its view (see A/47/990) that there is a need for a clear statement of the rationale for the establishment of posts at the ASG and Under-Secretary-General levels.
183,OICA,international organization of motor vehicle manufacturers,international organization of motor vehicle manufacturers,"OICA international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturersy released by the World Bank Group, the regional development banks, the International Transport Forum of the Organization for Economic Cooperation and Development and professional international transport sector associations, including the International Union of Railways, the International Road Transport Union, the International Air Transport Association, the International Freight Association, the OICA and the International Automobile Federation."
184,OICA,international organization of motor vehicle manufacturers,international organization of motor vehicle manufacturers,OICA international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturersRoster: OICA; Natural Resources Defense Council.
185,OICA,international organization of motor vehicle manufacturers,international organization of motor vehicle manufacturers,"OICA international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturerss Institut de recherche sur l'environnement / La Roche sur Foron, France International Academy of the Environment / Conches, Switzerland International Chamber of Commerce / Paris, France International Climate Change Partnership / Arlington, USA International Council of Environmental Law / Bonn, Germany International Council of Women / Paris, France International Gas Union / Groningen, Netherlands OICA / Paris, France London, UK National Coal Association / Washington, USA Natural Resources Defense Council / Washington, USA New Energy and Industrial Technology Development Organization / Tokyo, Japan RainForest ReGeneration Institute / Washington, USA Stockholm Environment Institute / Stockholm, Sweden Tata Energy Research Institute / New D"
186,OICA,international organization of motor vehicle manufacturers,international organization of motor vehicle manufacturers,OICA international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers international organization of motor vehicle manufacturers51 Submitted by the expert from the International OICA * Modifications to the current text of the Regulation are marked in bold for new or strikethrough for deleted characters.
187,I-PRSP,interim prsp,interim poverty reduction strategy paper,"I-PRSP interim prsp interim poverty reduction strategy paper interim poverty reduction strategy paper interim poverty reduction strategy paperAs of January 2003, PRSPs (and I-PRSPs) in every country in Africa south of the Sahara note malaria as a significant contributor to poverty and stress the importance of malaria control in their approaches to sustainable development."
188,I-PRSP,interim poverty reduction strategy paper,interim poverty reduction strategy paper,I-PRSP interim prsp interim poverty reduction strategy paper interim poverty reduction strategy paper interim poverty reduction strategy paperThe I-PRSP for Yemen (PRSP) has identified the following factors as the main causes for poverty in Yemen: population dynamics and alarming continuous negative growth (-3.5%); scarcity of arable land; scarcity of water; insufficient infrastructure; inefficient civil service; many returnees and refugees; gender-based inequalities; Qat related issues.
189,I-PRSP,interim poverty reduction strategy paper,interim poverty reduction strategy paper,"I-PRSP interim prsp interim poverty reduction strategy paper interim poverty reduction strategy paper interim poverty reduction strategy paperThe fund could support activities in such areas as: the re-launch of the preparation by the Haitian authorities of an I-PRSP, with a particular focus on employment-generating programmes at the communal level; the implementation of concrete community-level projects and activities that have been identified on the basis of agreement among relevant actors and sectors within these communities, including through ongoing dialogue initiatives; and support for projects and activities that"
190,SADC,southern african development community,southern african development community,"SADC southern african development community southern african development communityThe International Conference was attended by approximately 450 participants, including the Secretary-General of the Organization of African Unity, the Commonwealth Secretary-General and the Executive Secretary of the SADC."
191,SADC,southern african development community,southern african development community,"SADC southern african development community southern african development communityAlready, through the Southern African Development Coordination Conference - now being transformed into the SADC - valuable experience has been gained of the potential for regional cooperation and coordination."
192,EC-ESA,executive committee of the economic and social affairs,executive committee of the economic and social affairs,"EC-ESA executive committee of the economic and social affairs executive committee of the economic and social affairs executive committee of the economic and social affairsinformation services to facilitate both research and dissemination of documents; (b) participation of Member States, non-governmental organizations, civil society and other actors in the intergovernmental processes serviced by the Department; (c) the central policy and coordination role of the Department in the economic and social activities of the United Nations system, in particular through the EC-ESA; and (d) the Under-Secretary-General in discharging his functions as Programme Manager."
193,EC-ESA,executive committee of the economic and social affairs,executive committee of the economic and social affairs,"EC-ESA executive committee of the economic and social affairs executive committee of the economic and social affairs executive committee of the economic and social affairsOIOS notes that three recommendations are still in progress and encourages the following actions to be taken in order to address the recommendations made by the Committee for Programme and Coordination: (a) the Secretary-General should establish a working group to review the respective roles, responsibilities and contributions of CEB, UNDG and the EC-ESA in order to enhance their coordination and collaboration in regard to common policy issues of relevance to the eradication of poverty and hunger; (b) UNDG should work in consultation with UNDP and CEB to introduce a structured and strategic approach to system-wide knowledge management networks; and (c) CEB should encourage and coordinate efforts b"
194,EC-ESA,executive committee of the economic and social affairs,executive committee of the economic and social affairs,"EC-ESA executive committee of the economic and social affairs executive committee of the economic and social affairs executive committee of the economic and social affairsIn respect of system-wide efforts to bring about greater coordination and synergy and to produce joint outputs, mention can be made of the International Trade Cluster (led by UNCTAD) of the EC-ESA (ECESA)."
195,PPP,power,power,PPP power purchasing power parities purchasing power paritiesAustralia agrees with the view of the Working Group expressed in paragraph 514 that the PPP of complaint should extend to any State party which has accepted the jurisdiction of a court with respect to the offence in question.
196,PPP,purchasing power parities,power,PPP power purchasing power parities purchasing power paritiesPresented by USDA (38) The use of PPP.
197,PPP,purchasing power parities,power,PPP power purchasing power parities purchasing power paritiesa/ Poverty line used here based on an annual income per capita of $370 in 1985 PPP dollars.
198,ACP,african caribbean and pacific,african caribbean and pacific group of states,"ACP african caribbean and pacific african caribbean and pacific group of statesIn addition, close contact will be maintained with interregional and regional commodity producer organizations, as well as with non-governmental commodity bodies, in particular industry associations and other intergovernmental bodies, notably the Common Fund for Commodities, OECD, the Commission of the European Communities, and the secretariats of the ACP countries, the Latin American Economic System and OAU."
199,ACP,african caribbean and pacific group of states,african caribbean and pacific group of states,"ACP african caribbean and pacific african caribbean and pacific group of statesIn this context, they note that under the terms of articles 157 and 164 of the Fourth Lomé Convention, it is possible to include in regional cooperation projects a neighbouring country not a member of the ACP."
200,ACP,african caribbean and pacific group of states,african caribbean and pacific group of states,"ACP african caribbean and pacific african caribbean and pacific group of statesIn accordance with the request from the Security Council, the text of the statement was transmitted to the following intergovernmental organizations that have received a standing invitation to participate in the sessions and the work of the General Assembly as observers: ACP, African Development Bank, Agency for Cultural and Technical Cooperation, Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean, Asian-African Legal Consultative Committee, Caribbean Community, Commonwealth Secretariat, Council of Europe, European Economic Community, International Committee of the Red Cross, International Or"
201,PRC,peoples republic of china,peoples republic of china,"PRC peoples republic of china programme review committeees advocated the admission of the PRC as a new Member, while the latter country and its supporters insisted that the question to be settled was that of the representation of China."
202,PRC,peoples republic of china,peoples republic of china,"PRC peoples republic of china programme review committeeDespite the decision, the Republic of China in Taiwan continued to exist as an independent political entity and was not annexed by the PRC."
203,PRC,programme review committee,programme review committee,"PRC peoples republic of china programme review committeeFor that purpose, the above-mentioned workshop held at the ILO International Training Centre at Turin in February 1997 suggested that a United Nations system country PRC be established in each programme country."
204,HS,harmonized system,harmonized system,HS harmonized system head of state host stateTo urge all Parties to insert further subdivisions to the recommended HS subheadings so that imports and exports of each of the substances listed in the annexes of the Protocol as well as each of the mixtures containing these substances can be accurately monitored in order to facilitate reporting of data under Article 7 of the Protocol; Decision IV/10.
205,HS,harmonized system,head of state,"HS harmonized system head of state host stateHowever, in view of the difficulties that had been raised, the Committee supported the proposal from the Preparatory Meeting that Parties should insert further subdivisions to the recommended HS subheadings."
